GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
final-project,ru.sberstart.finalproject.user.api.dto.request,UserCreationRequestDTO,33,0,0,0,1,0,6,0,6,0
final-project,ru.sberstart.finalproject.bank.infrastructure.repository,BankRepositoryImpl,78,15,0,0,23,4,4,1,4,1
final-project,ru.sberstart.finalproject.jooq,DefaultCatalog,20,0,0,0,5,0,3,0,3,0
final-project,ru.sberstart.finalproject.jooq,Indexes,56,0,0,0,5,0,2,0,2,0
final-project,ru.sberstart.finalproject.jooq,Tables,3,19,0,0,1,9,1,1,1,1
final-project,ru.sberstart.finalproject.jooq,Keys,330,0,0,0,22,0,2,0,2,0
final-project,ru.sberstart.finalproject.jooq,Public,79,0,0,0,14,0,4,0,4,0
final-project,ru.sberstart.finalproject.card.domain.entity,CardSecret.Builder,49,0,0,0,14,0,8,0,8,0
final-project,ru.sberstart.finalproject.card.domain.entity,CardSecret,39,0,0,0,1,0,7,0,7,0
final-project,ru.sberstart.finalproject.card.domain.entity,Card.Builder,42,0,0,0,12,0,7,0,7,0
final-project,ru.sberstart.finalproject.card.domain.entity,Card,37,0,0,0,14,0,7,0,7,0
final-project,ru.sberstart.finalproject.card.api.dto.request,CardsListRequestDTO,9,0,0,0,1,0,2,0,2,0
final-project,ru.sberstart.finalproject.card.api.dto.request,CardIssueRequestDTO,9,0,0,0,1,0,2,0,2,0
final-project,ru.sberstart.finalproject.card.api.dto.request,CardStateRequestDTO,15,0,0,0,1,0,3,0,3,0
final-project,ru.sberstart.finalproject.user.mapper,UserMapper,5,0,0,0,1,0,1,0,1,0
final-project,ru.sberstart.finalproject.card.domain.entity.enums,CardStates,33,0,0,0,6,0,1,0,1,0
final-project,ru.sberstart.finalproject.user.application.service,UserService,64,6,0,0,15,3,5,1,5,1
final-project,ru.sberstart.finalproject.bankaccount.mapper,BankAccountMapper,5,0,0,0,1,0,1,0,1,0
final-project,ru.sberstart.finalproject.card.mapper,CardMapper,5,0,0,0,1,0,1,0,1,0
final-project,ru.sberstart.finalproject.bankaccount.api.dto.response,BankAccountSuccessTransactionResponseDTO,15,0,0,0,1,0,3,0,3,0
final-project,ru.sberstart.finalproject.bankaccount.api.dto.response,BankAccountInformationResponseDTO,69,0,0,0,1,0,12,0,12,0
final-project,ru.sberstart.finalproject.bankaccount.api.dto.response,BankAccountCreationResponseDTO,39,0,0,0,1,0,7,0,7,0
final-project,ru.sberstart.finalproject.bankaccount.api.dto.response,BankAccountDeactivateInformationResponseDTO,27,0,0,0,1,0,5,0,5,0
final-project,ru.sberstart.finalproject.bankaccount.api.dto.response,BankAccountActiveInformationResponseDTO,27,0,0,0,1,0,5,0,5,0
final-project,ru.sberstart.finalproject.user.infrastructure.repository,UserRepositoryImpl,390,26,4,0,87,5,10,2,8,2
